년,월,일,날짜,발생 해역,적조종,밀도,최저 밀도,최대 밀도,수온,최저 수온,최대 수온,염분,,
2015,8,18,2015-8-18,"고성(하이 덕명~삼산 두포~유촌), 통영 산양 오비~한산 곡룡포",Cochlodinium polykrikoides,80.0 ~ 2600.0,80,2600,21.8 ~ 23.5,21.8,23.5,,,
2015,8,20,2015-8-20,"고성(하이~삼산, 동해), 통영 사량~산양~한산, 추도~욕지도~노대도",Cochlodinium polykrikoides,200.0 ~ 13000.0,200,13000,24.1 ~ 25.0,24.1,25,,,
2015,8,21,2015-8-21,"고성(하이~자란도~삼산), 통영 사량~오비~한산, 추도~욕지도~소지도",Cochlodinium polykrikoides,100.0 ~ 4800.0,100,4800,22.1 ~ 24.4,22.1,24.4,,,
2015,8,12,2015-8-12,"고성군 삼산 두포, 통영시 오비~곤리~만지도, 한산 용초~죽도~추봉",Cochlodinium polykrikoides,280.0 ~ 1980.0,280,1980,21.5 ~ 22.8,21.5,22.8,,,
2015,8,11,2015-8-11,"고성군 삼산, 통영시 오비~곤리~학림, 한산 용초~곡룡포~추원",Cochlodinium polykrikoides,30.0 ~ 2400.0,30,2400,22.8 ~ 27.5,22.8,27.5,,,
2015,8,17,2015-8-17,"고성군(하이 덕명~삼산 두포~와도), 통영시 산양 오비~장촌~학림~만지도, 한산 연대도~비진도~죽도, 연화도~장사도",Cochlodinium polykrikoides,220.0 ~ 3840.0,220,3840,22.0 ~ 23.7,22,23.7,,,
2015,8,15,2015-8-15,"고성군(하이~도산), 통영시 두미도~추도, 산양 오비~수월~장촌, 저도~만지도, 한산 용초~죽도~추봉",Cochlodinium polykrikoides,150.0 ~ 4200.0,150,4200,21.6 ~ 25.3,21.6,25.3,,,
2015,8,14,2015-8-14,"고성군, 통영시 욕지, 산양 수월~영운, 한산 용포~죽도~추봉",Cochlodinium polykrikoides,60.0 ~ 6120.0,60,6120,23.1 ~ 24.2,23.1,24.2,,,
2015,8,22,2015-8-22,"사천~고성(삼산~사량), 통영 산양~한산(곡룡포~여차), 추도~욕지도",Cochlodinium polykrikoides,150.0 ~ 5800.0,150,5800,22.7 ~ 24.7,22.7,24.7,,,
2015,8,26,2015-8-26,"통영 명지~장사도, 비산도~곡룡포, 용초도~죽도, 탄항~연화도",Cochlodinium polykrikoides,40.0 ~ 3500.0,40,3500,25.0 ~ 25.5,25,25.5,,,
2015,8,10,2015-8-10,"통영 산양 오비~곤리, 한산 곡룡포~추원, 용초~추봉, 고성군 삼산 두포",Cochlodinium polykrikoides,30.0 ~ 2560.0,30,2560,23.9 ~ 27.9,23.9,27.9,,,
2015,8,8,2015-8-8,통영 산양 오비~곤리~궁항,Cochlodinium polykrikoides,40.0 ~ 1350.0,40,1350,25.0 ~ 28.0,25,28,,,
2015,8,9,2015-8-9,통영 산양 오비~곤리~궁항,Cochlodinium polykrikoides,30.0 ~ 1200.0,30,1200,22.3 ~ 27.9,22.3,27.9,,,
2015,8,7,2015-8-7,"통영 산양 오비~곤리~궁항, 한산 죽도",Cochlodinium polykrikoides,40.0 ~ 2400.0,40,2400,22.4 ~ 24.5,22.4,24.5,,,
2015,8,6,2015-8-6,"통영 산양 오비~학림, 곡룡포~저구",Cochlodinium polykrikoides,8.0 ~ 4320.0,8,4320,22.7 ~ 25.5,22.7,25.5,,,
2015,8,5,2015-8-5,"통영 산양 오비~학림, 한산 장사도",Cochlodinium polykrikoides,40.0 ~ 1120.0,40,1120,20.9 ~ 27.0,20.9,27,,,
2015,8,28,2015-8-28,"통영 산양(달아~명지), 한산(여차~추원~곡룡포, 봉암~용초도)",Cochlodinium polykrikoides,40.0 ~ 1120.0,40,1120,25.0 ~ 25.8,25,25.8,,,
2015,8,29,2015-8-29,"통영 산양(학림~명지), 한산(여차~추원~곡룡포)",Cochlodinium polykrikoides,20.0 ~ 120.0,20,120,24.1 ~ 24.3,24.1,24.3,,,
2020,10,13,2020-10-13,"통영 수우도, 두미도",Cochlodinium polykrikoides,30.0 ~ 56.0,30,56,21.7 ~ 21.8,21.7,21.8,31.1 ~ 31.2,31.1,31.2
2015,8,30,2015-8-30,"통영 욕지(동항), 한산(여차~추원)~거제 둔덕~산달, 가배~율포, 저구",Cochlodinium polykrikoides,16.0 ~ 240.0,16,240,23.3 ~ 25.1,23.3,25.1,,,
2015,9,12,2015-9-12,"통영 욕지(동항~노대~탄항)~연화도, 사량(능양), 거제 남측(율포, 저구, 장사도~대포), 동측(학동~수산)",Cochlodinium polykrikoides,30.0 ~ 1800.0,30,1800,23.5 ~ 24.0,23.5,24,,,
2015,8,31,2015-8-31,"통영 욕지(동항~연화도), 산양(학림)~한산(비산도~용초도), 거제 둔덕, 가배~율포, 저구",Cochlodinium polykrikoides,16.0 ~ 120.0,16,120,22.3 ~ 24.3,22.3,24.3,,,
2015,9,13,2015-9-13,"통영 욕지(연화~국도), 거제 남부(저구만), 동부(학동~수산)",Cochlodinium polykrikoides,32.0 ~ 900.0,32,900,23.5 ~ 24.5,23.5,24.5,,,
2015,9,10,2015-9-10,"통영 욕지(탄항~동항~연화도)~산양 연대도, 거제 학동~수산, 대포~다대",Cochlodinium polykrikoides,250.0 ~ 3000.0,250,3000,24.0 ~ 25.2,24,25.2,,,
2015,9,11,2015-9-11,"통영 욕지(탄항~동항~연화도)~한산(용초~죽도, 추원~곡룡포, 송도), 거제 남부(저구~쌍근), 동부(학동~수산)",Cochlodinium polykrikoides,150.0 ~ 1300.0,150,1300,23.6 ~ 24.8,23.6,24.8,,,
2015,9,9,2015-9-9,"통영 욕지~연화, 거제 학동~수산",Cochlodinium polykrikoides,30.0 ~ 1040.0,30,1040,23.1 ~ 24.3,23.1,24.3,,,
2015,9,8,2015-9-8,통영 추도~곤리도,Cochlodinium polykrikoides,160.0 ~ 160.0,160,160,23.1 ~ 23.1,23.1,23.1,,,
2015,8,27,2015-8-27,"통영 한산 여차~죽도, 한산 봉암~용초도",Cochlodinium polykrikoides,240.0 ~ 2500.0,240,2500,24.5 ~ 24.8,24.5,24.8,,,
2015,8,25,2015-8-25,통영 한산~도산~욕지,Cochlodinium polykrikoides,0.0 ~ 0.0,0,0,24.1 ~ 24.1,24.1,24.1,,,
2015,8,13,2015-8-13,"통영시 산양 오비~궁항, 한산 용초~죽도~추봉",Cochlodinium polykrikoides,40.0 ~ 1120.0,40,1120,21.8 ~ 23.1,21.8,23.1,,,
2015,8,2,2015-8-2,"통영시 추도-산양 연명, 통영시 비진도-오곡도, 거제시 장사도",Cochlodinium polykrikoides,5.0 ~ 50.0,5,50,20.5 ~ 25.4,20.5,25.4,,,
